#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.421404111	0.871804645	-0.249750347	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.318046212	0.94719172	0.0409200634	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.580426434	0.637415942	-0.50676037	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
-0.934945221	0.208152286	0.287315262	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0139737786	-0.995267705	-0.096160952	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.367576067	0.363147772	0.856160926	0_1	 + 1	PD[];
0.00236104674	-0.999274078	-0.0380229126	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.654202197	0.478539415	0.585678678	0_1	 + 1	PD[];
-0.34954882	0.92566642	-0.14476637	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.878728651	0.401657223	0.25789035	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.680207616	0.586864962	-0.439211925	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,5,1,4],X[3,2,4,1],X[5,2,6,3]];
-0.315163895	0.84664393	-0.428795726	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.114895584	-0.633199566	-0.765413166	0_1	 + 1	PD[];
0.759741081	0.641247693	-0.107679551	0_1	 + 1	PD[];
-0.937574817	-0.1374948	0.319450533	0_1	 + 1	PD[];
0.509116627	0.342181556	-0.789754419	0_1	 + 1	PD[];
-0.780081148	0.262075347	-0.568146034	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
0.816049433	0.190247654	0.545773902	0_1	 + 1	PD[];
0.269703562	-0.929478634	-0.251653447	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[5,1,6,0],X[1,7,2,6],X[4,3,5,2],X[3,8,4,7]];
0.966624944	-0.252274991	-0.0446491539	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.930926015	-0.160015825	0.328285989	0_1	 + 1	PD[];
0.524063864	0.10448889	-0.845245017	0_1	 + 1	PD[];
0.306420643	0.701664413	0.643252238	0_1	 + 1	PD[];
-0.776230933	0.627155964	-0.0643500998	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,5,1,4],X[3,2,4,1],X[5,2,6,3]];
-0.762875038	-0.644574477	-0.0504521551	0_1	 + 1	PD[];
-0.533296883	-0.773741844	-0.341932731	0_1	 + 1	PD[];
0.428971144	0.245067152	0.869439963	0_1	 + 1	PD[];
0.947271478	-0.307939919	-0.0885988339	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.275304841	-0.493308016	0.825139047	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
0.699468482	-0.114594477	-0.705416153	0_1	 + 1	PD[];
-0.400353503	0.908185503	0.122131752	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.593250156	-0.528816934	0.606965322	0_1	 + 1	PD[];
0.177414469	-0.887891681	0.424467276	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0525566345	0.108063481	-0.992753788	0_1	 + 1	PD[];
-0.409277102	-0.282887662	0.867448457	0_1	 + 1	PD[];
0.809605081	0.0413921459	-0.585513708	0_1	 + 1	PD[];
0.664589526	-0.302417089	-0.683274957	0_1	 + 1	PD[];
0.409292589	0.422248862	0.808817331	0_1	 + 1	PD[];
0.985243528	-0.0974291204	-0.140722267	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
